,T_EW1,T_EW2,T_EW3,T_EW4,T_AW1,T_AW2,T_AW3,T_FW1,T_FW2,T_FW3,T_AF1,T_AF2,T_AF3,T_FC1,T_FC2,T_FC3,T_FF1,T_FF2,T_FF3,T_AR1,T_AR2,T_AR3,T_RJ1,T_RJ2,T_RJ3,T_DR1,T_IW1,T_IW2,T_IM1,T_FM1,T_LIV,T_FND,T_ATC
T_EW1,0.0077035250299616305,0.05927463465396022,0.09064047686815972,0.007784890504455252,8.051071067230377e-12,8.058913397589183e-11,1.3363082826969888e-09,1.0243676624826062e-10,1.4895600171899758e-08,9.150398880279564e-08,5.968254753753705e-07,2.3069470203866303e-05,0.00019777999161077876,4.468959639346396e-05,0.00013883864973288833,4.61758034786293e-05,6.408077636187756e-09,3.288952934791042e-07,1.3673995740488667e-07,6.373734638420593e-09,2.077440133271872e-10,3.0973138531142247e-08,2.153794323603409e-11,1.5734263214256943e-09,2.571688394865803e-08,5.816007564811637e-06,0.0002612356898992665,8.404913403253779e-05,6.147803873658264e-05,1.064554825647526e-07,0.0027358686667442044,4.589297570318002e-06,1.1669252692670566e-07
T_EW2,0.013258786621512914,0.10207422650674519,0.1659757982239683,0.014604810853943695,1.802649881583838e-11,1.7946550785235722e-10,2.918360274189542e-09,2.3191100060050083e-10,3.2792745209475446e-08,1.9547124222848096e-07,1.2431097172042694e-06,4.7073153180492726e-05,0.00039167543574926807,9.085226515471029e-05,0.0002755181270155518,8.960719916699229e-05,1.4282766534671874e-08,7.119761468931746e-07,2.8701507208813256e-07,1.4095456526116143e-08,4.5312854322352044e-10,6.731246979265251e-08,4.7862451610230114e-11,3.4711797503248664e-09,5.514740136692078e-08,1.1527230920125262e-05,0.0005165464172583621,0.00016866860506548227,0.00012259251202462735,2.2897011262310854e-07,0.005270154006992114,9.568235624026641e-06,2.4807762824338164e-07
T_EW3,0.007050503919581497,0.05771754457671277,0.7147337561681392,0.08488805966127728,3.2399335466193985e-10,3.1543698661567623e-09,4.71145124759809e-08,4.3645457297641005e-09,5.485113407498836e-07,2.8405052571635367e-06,1.5864966431181002e-05,0.0005341616611148706,0.0036509709852818933,0.0010063928594338783,0.00260483209511803,0.0007154137813449542,2.51961158383388e-07,1.1028477191677147e-05,3.811401624423456e-06,2.4032379527668747e-07,7.2714246130589625e-09,1.0622342732465864e-06,8.334479457109455e-10,5.86092430482229e-08,8.169106327300665e-07,0.00010808624686187442,0.004764693353582348,0.0017204578510003753,0.001200935617351316,3.4426941714020825e-06,0.03954617140054166,0.0001226274692775557,3.522352549701822e-06
T_EW4,0.0016159777631787522,0.013553264472459747,0.22653301329069747,0.2634438775881661,1.0978579848777994e-08,1.0382787096235099e-07,1.375221098909885e-06,1.5847975771942412e-07,1.6814409409240063e-05,7.017589462785387e-05,0.0003223797269106908,0.008955650961435352,0.04196569195642554,0.01587724158264158,0.030600518452262443,0.005861598574087652,8.336340159392655e-06,0.0003009197082896185,8.130358416943698e-05,7.541039183742754e-06,2.097716565498175e-07,2.9880186176846138e-05,2.700970104426917e-08,1.8236807419961755e-06,2.0870799498994818e-05,0.0012585605805043312,0.05408535179002437,0.02331798161669288,0.015558431268234495,9.028421665413366e-05,0.2770221778904394,0.0024822946496259606,8.450805036867448e-05
T_AW1,3.0963632108730325e-10,3.0993792944484657e-09,1.6019035526755412e-07,2.034049566214107e-06,0.005561926841414925,0.043782592257010776,0.16113465893109707,1.0948116342964162e-13,2.1294658464891003e-11,1.8300881863804248e-10,0.004471105331958543,0.002464935180339701,0.00022770676469212255,1.7320913612642416e-07,7.90495628203038e-07,3.9561076878752715e-07,7.995017656151866e-12,5.627710949030705e-10,3.361395820275482e-10,0.004447768315715167,9.372469321804065e-05,0.012026162959894695,2.759381864550278e-14,2.2056179844400466e-12,4.953759440609796e-11,3.461836577795974e-08,1.6294966532082827e-06,3.9806927362756663e-07,3.399893314557831e-07,1.9928866975797723e-10,2.725571954504633e-05,1.2501262771506975e-08,0.017721652669202007
T_AW2,6.93281518547191e-10,6.9020679546162085e-09,3.4885726590230475e-07,4.302929306710214e-06,0.009793464807692843,0.07723470548286773,0.29088541682895475,2.641479528856378e-13,5.006447194759365e-11,4.186142620965374e-10,0.008395011897921493,0.004803787761082548,0.0004569141841369741,3.7755427220733495e-07,1.6816903910792542e-06,8.223947683901564e-07,1.9026133034594963e-11,1.303709669466655e-09,7.571063575558252e-10,0.008499567151201447,0.00017742958300796504,0.022670802892108283,6.552451470399578e-14,5.193630044072058e-12,1.1361907791545476e-10,7.339875186969677e-08,3.4451452687637914e-06,8.56422534904007e-07,7.235330715387565e-07,4.580255843031691e-10,5.6206279292745734e-05,2.7928242716574827e-08,0.032663736431617456
T_AW3,3.997632576430318e-09,3.9030150378056064e-08,1.8119780823029162e-06,1.9819188588684756e-05,0.012533920645922948,0.1011544586150173,0.4885136948098167,1.9534604291166116e-12,3.4125378077479797e-10,2.6028707128728373e-09,0.01979157187916092,0.014578861486779457,0.0016358310022368914,1.9663787889303556e-06,7.931892484554722e-06,3.503657430582308e-06,1.3478623849245018e-10,8.462454712315926e-09,4.456950253321296e-09,0.022688380820413315,0.00044437363064758105,0.05509145630385235,4.609629980486919e-13,3.5584883567605245e-11,7.132249612417182e-10,3.414535208053289e-07,1.583373956478523e-05,4.23312100525644e-06,3.421152026356265e-06,2.8959646785446933e-09,0.00023071739757395352,1.5968295392688026e-07,0.06651700790881206
T_FW1,1.2860131627142762e-12,1.3015954080983642e-11,7.044182923533607e-10,9.584743176875849e-09,3.573803904416373e-17,3.8548161409256207e-16,8.197812041759051e-15,0.8808650734953776,0.0841242805804201,0.00018540524645877817,7.0972423090168005e-12,3.8654041606578797e-10,5.5906672485217654e-09,9.114462221013498e-06,2.2408344433053807e-06,1.0041597442846139e-07,2.0030476346247153e-07,6.3442537880266045e-06,1.4944945026578376e-06,3.271073733744726e-14,1.2849124000925462e-15,2.003263521328962e-13,6.37465996653495e-10,4.202638375310352e-08,4.239484655139815e-07,1.6227311869959405e-10,7.696171669079241e-09,1.7958624028516723e-09,1.580505923003133e-09,1.8700892830849221e-06,1.3850222182927285e-07,4.4826212452656474e-05,1.0188165769105739e-12
T_FW2,1.1520693643478991e-10,1.1338706158795607e-09,5.453913632932737e-08,6.264975364372952e-07,4.282457504294001e-15,4.501084097518084e-14,8.822707435031797e-13,0.051826565704685607,0.9421099358615318,0.0031441062211403988,6.169392572325694e-10,3.004420290642143e-08,3.6897268590294305e-07,0.00031266306163340267,9.568672346889745e-05,4.494602883079566e-06,1.0183392797854344e-05,0.00024611240959182404,3.979481259902997e-05,3.741441600524858e-12,1.3806977123352853e-13,2.1226058497085985e-11,3.124463440389152e-08,1.973010579728795e-06,1.5036907433255256e-05,1.0748842234319914e-08,5.00834225282329e-07,1.3010093000219362e-07,1.0695887847077275e-07,6.985636233327962e-05,7.629889259794732e-06,0.0011235787056339268,9.795382577991678e-11
T_FW3,1.0518903079663283e-07,1.0045658373900728e-06,4.197860943895634e-05,0.00038862927607866555,5.470212612068505e-12,5.593856406818318e-11,1.0001999053233515e-09,0.01697707601372133,0.4673120887410212,0.1341248010032107,5.451074035687501e-07,2.3250092712304135e-05,0.000232219635323011,0.07805748481831176,0.03324990581182723,0.001658036814299341,0.004644152904095102,0.07529098746952693,0.005974087209518189,4.53166869949449e-09,1.5606726165062098e-10,2.3598225364607916e-08,1.3398304134343047e-05,0.0008055045495178422,0.0039742191477586996,6.8002820293268106e-06,0.0003099054449483838,9.156746217597585e-05,6.988110444466343e-05,0.020586457543101976,0.003782236607407351,0.1520253824939603,9.733225000658642e-08
