xn,y,ymin,ymax,d,d_obs,u
18.271517,18.271517,20.0,22.0,16.933332,16.933332,0.9869343
18.158905,18.271517,20.0,22.0,16.966667,16.966667,0.9870451
18.049086,18.158905,20.0,22.0,17.0,17.0,0.98622155
17.94224,18.049086,20.0,22.0,17.033333,17.033333,0.98537666
17.838398,17.94224,20.0,22.0,17.066668,17.066668,0.9845143
17.737587,17.838398,20.0,22.0,17.1,17.1,0.9836373
17.639828,17.737587,20.0,22.0,17.133333,17.133333,0.9827487
17.545132,17.639828,20.0,22.0,17.166666,17.166666,0.9818516
17.453508,17.545132,20.0,22.0,17.2,17.2,0.98094934
17.364962,17.453508,20.0,22.0,17.233334,17.233334,0.98004526
17.279486,17.364962,20.0,22.0,17.266666,17.266666,0.97914255
17.197073,17.279486,20.0,22.0,17.3,17.3,0.97824484
17.117708,17.197073,20.0,22.0,17.333334,17.333334,0.9773555
17.041372,17.117708,20.0,22.0,17.366667,17.366667,0.97647756
16.968039,17.041372,20.0,22.0,17.4,17.4,0.9756144
16.897676,16.968039,20.0,22.0,17.433332,17.433332,0.97476894
16.83025,16.897676,20.0,22.0,17.466667,17.466667,0.9739445
16.765718,16.83025,20.0,22.0,17.5,17.5,0.97314316
16.704039,16.765718,20.0,22.0,17.533333,17.533333,0.9723679
16.64516,16.704039,20.0,22.0,17.566668,17.566668,0.971621
16.589031,16.64516,20.0,22.0,17.6,17.6,0.9709043
16.535595,16.589031,20.0,22.0,17.633333,17.633333,0.97021997
16.484793,16.535595,20.0,22.0,17.666666,17.666666,0.9695693
16.436563,16.484793,20.0,22.0,17.7,17.7,0.968954
16.390842,16.436563,20.0,22.0,17.733334,17.733334,0.96837485
16.347563,16.390842,20.0,22.0,17.766666,17.766666,0.9678331
16.306658,16.347563,20.0,22.0,17.8,17.8,0.9673291
16.268059,16.306658,20.0,22.0,17.833334,17.833334,0.96686316
16.231695,16.268059,20.0,22.0,17.866667,17.866667,0.96643585
16.197495,16.231695,20.0,22.0,17.9,17.9,0.966047
16.165388,16.197495,20.0,22.0,17.933332,17.933332,0.96569633
16.135302,16.165388,20.0,22.0,17.966667,17.966667,0.9653836
16.107166,16.135302,20.0,22.0,18.0,18.0,0.96510804
16.08091,16.107166,20.0,22.0,18.016666,18.016666,0.9647177
16.05617,16.08091,20.0,22.0,18.033333,18.033333,0.96436065
16.032887,16.05617,20.0,22.0,18.05,18.05,0.9640306
16.011002,16.032887,20.0,22.0,18.066668,18.066668,0.9637275
15.990459,16.011002,20.0,22.0,18.083334,18.083334,0.96345013
15.971205,15.990459,20.0,22.0,18.1,18.1,0.96319836
15.953183,15.971205,20.0,22.0,18.116667,18.116667,0.9629712
15.936342,15.953183,20.0,22.0,18.133333,18.133333,0.9627682
15.920631,15.936342,20.0,22.0,18.15,18.15,0.9625884
15.906001,15.920631,20.0,22.0,18.166666,18.166666,0.9624313
15.892403,15.906001,20.0,22.0,18.183332,18.183332,0.96229583
15.879789,15.892403,20.0,22.0,18.2,18.2,0.96218127
15.868117,15.879789,20.0,22.0,18.216667,18.216667,0.9620869
15.857342,15.868117,20.0,22.0,18.233334,18.233334,0.96201175
15.847422,15.857342,20.0,22.0,18.25,18.25,0.9619551
