,T_EXT,T_GND,H_EW1,H_EW4,H_AW1,H_AW3,H_FW1,H_FW3,H_AF1,H_AF3,H_FC1,H_FC3,H_FF1,H_FF3,H_AR1,H_AR3,H_RJ1,H_RJ3,H_DR1,H_IW1,H_IM1,H_FM1,H_LIV,H_FND,H_ATC
T_EW1,0.8309914177725807,1.4662492209902704e-11,0.0010783088758850535,1.4859613888544397e-05,7.057870605268278e-13,1.0346153408348979e-11,2.796047164287465e-15,3.047206162503727e-10,2.790609371427341e-09,2.2537411050201599e-07,2.3642039735102172e-08,5.85404678198557e-07,1.240507992538998e-13,6.912084141534567e-10,2.8167203295263476e-12,1.9645906528901646e-11,4.4064173322669774e-13,1.5154202683152002e-10,9.923591356349864e-08,3.029737024455328e-07,2.3984595995258223e-08,2.4556638059211874e-11,1.687605664668741e-06,2.9052858753682616e-09,2.81424516412127e-10
T_EW2,0.6970894890013655,3.362021450197573e-11,0.0009045247700969883,2.89359081696067e-05,1.6252358053386241e-12,2.3241238668198233e-11,6.502477488431213e-15,6.709930191801784e-10,5.990649176243106e-09,4.612787452344612e-07,4.9657837610870267e-08,1.1761176246464914e-06,2.843253653153736e-13,1.4977233798561027e-09,6.410671847414332e-12,4.394619209661513e-11,1.0074108125854075e-12,3.3475793205324077e-10,2.03246093843849e-07,6.189578647726302e-07,4.934521685382874e-08,5.437944522910078e-11,3.3667491233092863e-06,6.250405070412763e-09,6.163018332518384e-10
T_EW3,0.07959183967815349,6.652635716683107e-10,0.0001027583695366195,0.00023808037325433832,3.268145739353279e-11,4.239310140738231e-10,1.3579499063512473e-13,1.1234742209619057e-08,8.932710685594355e-08,5.333688207815536e-06,6.629408033290845e-07,1.2111993750864953e-05,5.6170904895654e-12,2.3306620559858893e-08,1.231656539194567e-10,7.874502625864891e-10,1.9703133657454065e-11,5.685429357128136e-09,2.359674918976546e-06,7.0802717254567e-06,5.886631076513011e-07,9.337272140000879e-10,3.308647592370857e-05,9.409445052289178e-08,1.0077353855070466e-08
T_EW4,0.016831618763181996,2.5875080075637317e-08,1.4859613888537275e-05,0.002188233047948743,1.2971495133681474e-09,1.4775279662310806e-08,5.689013070999894e-12,3.4497239670139755e-07,2.3300455217880265e-06,9.295165791799707e-05,1.4493010720868791e-05,0.00017203268740211247,2.179577905845222e-10,6.410349423299147e-07,4.590395846080418e-09,2.6713082880167945e-08,7.530212102336975e-10,1.7860471473947337e-07,4.1431074373144914e-05,0.00012152653644421965,1.0905266451200603e-05,2.9854383572199995e-08,0.0004319228295606647,2.4729825002518863e-06,3.0034449891558784e-07
T_AW1,0.7480345373341618,1.4053417693465468e-14,7.05787055891676e-13,1.2971495151380277e-09,0.03706455101782116,0.008988392820283894,2.26063130743034e-18,4.347673301511476e-13,5.160741440372615e-05,2.2927029748909578e-07,5.965209386264123e-11,2.843324444773076e-09,1.194289076436847e-16,1.1724161670898925e-12,5.424791907263545e-06,2.33026789859129e-05,4.238013600261968e-16,2.099517279745036e-13,3.6297767154650513e-10,1.1529031715333944e-09,8.342491418176123e-11,3.3277282235046554e-14,9.283676356103047e-09,5.426110614249587e-12,0.00016556828695956136
T_AW2,0.5443502861251666,3.41498682512453e-14,1.6252357930629817e-12,2.828794317650527e-09,0.02663454704894808,0.01696926179686675,5.6177752308371015e-18,1.0223098571031084e-12,0.00010106700691430626,4.757953935072721e-07,1.3393673367831405e-10,6.101090436829369e-09,2.9005515316202667e-16,2.7177569161052584e-12,1.0804366975942903e-05,4.5750013243917655e-05,1.0330984161950372e-15,4.9483754094848e-13,7.93050722556092e-10,2.512139759362579e-09,1.8281957218996284e-10,7.85692109038687e-14,1.9761922707140265e-08,1.2472929936130385e-11,0.0003183901110371803
T_AW3,0.21676064058176603,2.5905872637211263e-13,1.0346153235514223e-11,1.4775279666441583e-08,0.00898839282028378,0.041897162021981675,4.520090722836509e-17,6.971911701504342e-12,0.0003161403395586012,2.0131932445249797e-06,7.803322404657404e-10,2.985395113518629e-08,2.1970654558931768e-15,1.7680243580116357e-11,3.715352182274891e-05,0.00014527947505752967,7.879139844110228e-15,3.4008322625066007e-12,4.173269986146636e-09,1.3081024658489259e-08,9.736656859202375e-10,5.431020385105201e-13,9.355144965182689e-08,7.890909911963555e-11,0.000890881155314286
T_FW1,2.308464239562271e-09,0.03475841466347491,2.7967505024868085e-15,5.689027216761038e-12,2.5253019354055755e-18,4.6326849127249234e-17,0.00023876364600291432,1.6830766009446281e-06,2.1825504688612747e-14,3.6365622113046542e-12,5.850463361625124e-09,8.242185924681635e-10,5.92409938553243e-12,1.3600834685320678e-08,1.0543813861654322e-17,9.017566975486872e-17,2.017826477235837e-11,4.1494064954730566e-09,1.5861754554867944e-12,5.0674964530062926e-12,3.625226719569966e-13,7.039692569227905e-10,4.313164301405575e-11,5.130935608096826e-08,1.6786409665663104e-15
T_FW2,1.4512895283401335e-07,0.0009903752743953835,2.855265830788999e-13,4.436450555199502e-10,3.0450796990101153e-16,5.435137881266345e-15,6.802824627929576e-06,4.902860730748845e-05,2.166165562366164e-12,2.8558022290074623e-10,2.731020235386953e-07,4.745876777146215e-08,3.7236031125828877e-10,5.360831790992986e-07,1.324747007203704e-15,1.0633127730649328e-14,1.2374399862957593e-09,1.982157807380253e-07,1.24905411613614e-10,3.932186814787834e-10,2.8990098301627555e-11,3.468681154729698e-08,2.9233414072663056e-09,1.9250287702097005e-06,1.8205994156623076e-13
T_FW3,8.73057781727117e-05,0.0002708613411920797,3.0472061924206767e-10,3.4497239676234226e-07,4.3476849796441864e-13,6.97191676921494e-12,1.6830766009598942e-06,0.009883995997106331,2.242835439630029e-09,2.2422250596080351e-07,0.00011115651307680811,2.5230995266910513e-05,2.2490005900154137e-07,0.00016939226358339115,1.8067832225762852e-12,1.3430828056908555e-11,7.20515421015288e-07,8.341876053367612e-05,9.842868942261192e-08,3.043997826112302e-07,2.3340947731696395e-08,1.5372918045459712e-05,1.914352438031967e-06,0.0005724509446428163,2.0858581601886824e-10
