,T_AMB,H_WH1,H_WH2,H_WH3,H_WH4,H_WH5,H_WH6,H_WH7,H_WH8,H_WH9,H_WH10,H_WH11,H_WH12
T_WH1,0.016315262020996122,0.05857906316753275,0.0015233042216324726,2.6757615825339136e-05,3.543939824729026e-07,3.765143916207048e-09,3.338600381574216e-11,2.539691338975928e-13,1.6772560060240356e-15,-3.0097276670193032e-18,4.630887715713273e-18,1.3787430082573715e-18,9.259268604817804e-18
T_WH2,0.008359273751727628,0.0015233042216325314,0.057324646567306056,0.0015011541368696382,2.6463318096126578e-05,3.5126069626390584e-07,3.737318614979258e-09,3.317404837165469e-11,2.5255834757847954e-13,1.6663701730402716e-15,1.5798761987626448e-17,2.3608310164946764e-18,1.1660069573327537e-17
T_WH3,0.00815030118676883,2.6757615825397128e-05,0.001501154136869683,0.05732435226957689,0.0015011510035832043,2.646329027095437e-05,3.512604843180279e-07,3.737317167761539e-09,3.317404450562454e-11,2.5255189837830595e-13,1.6930285872669122e-15,1.2247607247101342e-17,1.665677785998608e-17
T_WH4,0.008146611754779322,3.543939825878893e-07,2.6463318096263614e-05,0.0015011510035833492,0.057324352241751364,0.001501151003371429,2.6463290269536154e-05,3.512604842591011e-07,3.73731716616327e-09,3.317403954829854e-11,2.525914370059837e-13,1.6865504214490707e-15,3.468290469279977e-17
T_WH5,0.008146562739410196,3.7651439362726545e-09,3.512606962718155e-07,2.6463290270941266e-05,0.0015011510033712653,0.057324352241750205,0.0015011510033713924,2.646329026944882e-05,3.512604842578269e-07,3.737317157766356e-09,3.3174090233767984e-11,2.525853725922282e-13,1.725813480012288e-15
T_WH6,0.008146562217627194,3.338602329586268e-11,3.737318627324029e-09,3.512604843267913e-07,2.6463290269431576e-05,0.0015011510033714173,0.057324352241750184,0.0015011510033712768,2.6463290269449197e-05,3.5126048424669045e-07,3.737317231672244e-09,3.3174089055299637e-11,2.5404440210652146e-13
T_WH7,0.008146562217627195,2.5400214336372857e-13,3.3174087276498737e-11,3.73731720480779e-09,3.512604842470205e-07,2.6463290269549506e-05,0.001501151003371403,0.057324352241750046,0.0015011510033712762,2.6463290269430624e-05,3.512604843605848e-07,3.737318633796163e-09,3.3386085892076643e-11
T_WH8,0.0081465627394102,1.6989301656172954e-15,2.525837775174291e-13,3.317407181123851e-11,3.737317154082998e-09,3.512604843237757e-07,2.6463290269531055e-05,0.0015011510033712903,0.05732435224175001,0.001501151003371262,2.646329027100388e-05,3.5126069627159965e-07,3.7651440286717945e-09
T_WH9,0.008146611754779355,1.5036794804616617e-17,1.6861249270867925e-15,2.5257915660190066e-13,3.317403675966222e-11,3.737317213475981e-09,3.5126048431619607e-07,2.6463290269454798e-05,0.0015011510033712953,0.05732435224175139,0.0015011510035834305,2.6463318096273992e-05,3.54393982724728e-07
T_WH10,0.008150301186768887,3.68488354250721e-18,1.1203415298487932e-17,1.6826239376865303e-15,2.5255511831323424e-13,3.3174073683212424e-11,3.737317203387926e-09,3.512604842696288e-07,2.646329027085755e-05,0.0015011510035831989,0.057324352269577036,0.0015011541368696907,2.6757615825596285e-05
T_WH11,0.008359273751727712,2.1932480456288723e-18,1.333182113777513e-18,9.019765762117743e-18,1.6661220625257149e-15,2.5257904155687634e-13,3.317407858422258e-11,3.737318581590314e-09,3.512606961890678e-07,2.6463318096139673e-05,0.001501154136869747,0.05732464656730605,0.0015233042216328218
T_WH12,0.016315262020996247,1.9828538793752195e-18,9.106752137136468e-19,-4.039312072813155e-19,-2.424772965212934e-18,1.6916464721041922e-15,2.539885326379157e-13,3.338597656751939e-11,3.7651438638766336e-09,3.5439398248303846e-07,2.675761582542022e-05,0.0015233042216325104,0.05857906316753317
